"","subject","activity","domain","dimension","component","instrument","jerk","magnitude","statistic","count","mean_value"
"1","1","laying","frequency","X","NA","gyroscope","NA","NA","mean",50,-0.850249174586
"2","1","laying","frequency","X","NA","gyroscope","NA","NA","std",50,-0.8822964508
"3","1","laying","frequency","X","body","accelerometer","NA","NA","mean",50,-0.9390990524
"4","1","laying","frequency","X","body","accelerometer","NA","NA","std",50,-0.9244374346
"5","1","laying","frequency","X","body","accelerometer","jerk","NA","mean",50,-0.9570738838
"6","1","laying","frequency","X","body","accelerometer","jerk","NA","std",50,-0.9641607086
"7","1","laying","frequency","Y","NA","gyroscope","NA","NA","mean",50,-0.9521914948
"8","1","laying","frequency","Y","NA","gyroscope","NA","NA","std",50,-0.9512320494
"9","1","laying","frequency","Y","body","accelerometer","NA","NA","mean",50,-0.86706520518
"10","1","laying","frequency","Y","body","accelerometer","NA","NA","std",50,-0.8336255561
"11","1","laying","frequency","Y","body","accelerometer","jerk","NA","mean",50,-0.9224626098
"12","1","laying","frequency","Y","body","accelerometer","jerk","NA","std",50,-0.9322178704
"13","1","laying","frequency","Z","NA","gyroscope","NA","NA","mean",50,-0.909302721
"14","1","laying","frequency","Z","NA","gyroscope","NA","NA","std",50,-0.9165825082
"15","1","laying","frequency","Z","body","accelerometer","NA","NA","mean",50,-0.8826668762
"16","1","laying","frequency","Z","body","accelerometer","NA","NA","std",50,-0.81289155944
"17","1","laying","frequency","Z","body","accelerometer","jerk","NA","mean",50,-0.9480609042
"18","1","laying","frequency","Z","body","accelerometer","jerk","NA","std",50,-0.9605869872
"19","1","laying","frequency",NA,"NA","gyroscope","NA","magnitude","mean",50,-0.8621901854
"20","1","laying","frequency",NA,"NA","gyroscope","NA","magnitude","std",50,-0.82431943968
"21","1","laying","frequency",NA,"NA","gyroscope","jerk","magnitude","mean",50,-0.9423669466
"22","1","laying","frequency",NA,"NA","gyroscope","jerk","magnitude","std",50,-0.9326606676
"23","1","laying","frequency",NA,"body","accelerometer","NA","magnitude","mean",50,-0.8617676481
"24","1","laying","frequency",NA,"body","accelerometer","NA","magnitude","std",50,-0.7983009404
"25","1","laying","frequency",NA,"body","accelerometer","jerk","magnitude","mean",50,-0.9333003608
"26","1","laying","frequency",NA,"body","accelerometer","jerk","magnitude","std",50,-0.9218039756
"27","1","laying","time","X","NA","gyroscope","NA","NA","mean",50,-0.016553093978
"28","1","laying","time","X","NA","gyroscope","NA","NA","std",50,-0.87354386782
"29","1","laying","time","X","NA","gyroscope","jerk","NA","mean",50,-0.107270949192
"30","1","laying","time","X","NA","gyroscope","jerk","NA","std",50,-0.9186085208
"31","1","laying","time","X","body","accelerometer","NA","NA","mean",50,0.22159824394
"32","1","laying","time","X","body","accelerometer","NA","NA","std",50,-0.9280564692
"33","1","laying","time","X","body","accelerometer","jerk","NA","mean",50,0.0810865342
"34","1","laying","time","X","body","accelerometer","jerk","NA","std",50,-0.958482112
"35","1","laying","time","X","gravity","accelerometer","NA","NA","mean",50,-0.24888179828
"36","1","laying","time","X","gravity","accelerometer","NA","NA","std",50,-0.8968300184
"37","1","laying","time","Y","NA","gyroscope","NA","NA","mean",50,-0.064486124088
"38","1","laying","time","Y","NA","gyroscope","NA","NA","std",50,-0.9510904402
"39","1","laying","time","Y","NA","gyroscope","jerk","NA","mean",50,-0.04151728689
"40","1","laying","time","Y","NA","gyroscope","jerk","NA","std",50,-0.9679072436
"41","1","laying","time","Y","body","accelerometer","NA","NA","mean",50,-0.0405139534294
"42","1","laying","time","Y","body","accelerometer","NA","NA","std",50,-0.83682740562
"43","1","laying","time","Y","body","accelerometer","jerk","NA","mean",50,0.0038382040088
"44","1","laying","time","Y","body","accelerometer","jerk","NA","std",50,-0.9241492736
"45","1","laying","time","Y","gravity","accelerometer","NA","NA","mean",50,0.70554977346
"46","1","laying","time","Y","gravity","accelerometer","NA","NA","std",50,-0.90772000676
